t=2026-08-23T10:22:00+0530 lvl=info msg="no configuration paths supplied"
t=2026-08-23T10:22:00+0530 lvl=info msg="using configuration at default config path" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml"
t=2026-08-23T10:22:00+0530 lvl=info msg="open config file" path="/Users/muhammadnihadot/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-08-23T10:22:00+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-23T10:22:00+0530 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-08-23T10:22:00+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-08-23T10:22:01+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-23T10:22:01+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-23T10:22:01+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://652f-2409-40f3-1433-4085-f836-e3d7-b043-87f2.ngrok-free.app
t=2026-08-23T10:22:02+0530 lvl=info msg="update available" obj=updater
t=2026-08-23T10:22:52+0530 lvl=info msg="join connections" obj=join id=e1a080603f56 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:51984
t=2026-08-23T10:23:22+0530 lvl=info msg="join connections" obj=join id=d7a74c297404 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=5a29a49ba93b l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=6a3ca79a88fd l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=4330f69a81a1 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=71a23233fc29 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=a26046f14fb3 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=b2b6e0d602b1 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=b7b27e9fa6df l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=6d29aa18a9c4 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=88229e90a4cd l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=ce1519a6f5dd l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=9cca32aa83ba l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=5a3f4a6d37ad l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=3d35e65c864e l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=04694b3c3fc1 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
t=2026-08-23T10:23:23+0530 lvl=info msg="join connections" obj=join id=d667d3f89302 l=[::1]:3000 r=[2409:40f3:1433:4085:f836:e3d7:b043:87f2]:52016
